start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
247,249,Charlotte Square,Fountainbridge,55.95234,-3.2071,55.94336,-3.20925,2
247,259,Charlotte Square,St Andrew Square,55.95234,-3.2071,55.95491,-3.19244,1
247,262,Charlotte Square,Canonmills,55.95234,-3.2071,55.9628,-3.19628,2
247,285,Charlotte Square,Ocean Terminal,55.95234,-3.2071,55.98129,-3.17635,1
247,358,Charlotte Square,Leith Walk,55.95234,-3.2071,55.96504,-3.17669,3
247,1024,Charlotte Square,Meadow Place,55.95234,-3.2071,55.94024,-3.19464,1
247,1025,Charlotte Square,Dundee Terrace,55.95234,-3.2071,55.93971,-3.22059,1
247,1028,Charlotte Square,Hunter Square,55.95234,-3.2071,55.9498,-3.1878,2
247,1039,Charlotte Square,Lothian Road,55.95234,-3.2071,55.94741,-3.20577,1
247,1091,Charlotte Square,Holyrood Road,55.95234,-3.2071,55.94956,-3.18041,3
247,1092,Charlotte Square,Dalry Road Lidl,55.95234,-3.2071,55.94179,-3.22242,3
247,1098,Charlotte Square,Marchmont Crescent,55.95234,-3.2071,55.93643,-3.19415,2
247,1720,Charlotte Square,Dundas Street,55.95234,-3.2071,55.96076,-3.20128,1
247,1721,Charlotte Square,Tollcross,55.95234,-3.2071,55.94425,-3.2031,3
247,1722,Charlotte Square,Cramond Foreshore,55.95234,-3.2071,55.98003,-3.30064,2
247,1748,Charlotte Square,Colinton Road,55.95234,-3.2071,55.93342,-3.2124,1
247,1765,Charlotte Square,Haymarket Terrace,55.95234,-3.2071,55.94606,-3.22302,1
247,1808,Charlotte Square,Gorgie Road,55.95234,-3.2071,55.93874,-3.22991,1
247,1824,Charlotte Square,Duke Street,55.95234,-3.2071,55.96901,-3.16739,1
247,2259,Charlotte Square,Leith Walk North,55.95234,-3.2071,55.96792,-3.17359,1
247,2268,Charlotte Square,Picardy Place,55.95234,-3.2071,55.95654,-3.18625,1
248,183,Bristo Square,Waverley Bridge,55.94583,-3.18905,55.95198,-3.19189,1
248,246,Bristo Square,Royal Commonwealth Pool,55.94583,-3.18905,55.939,-3.17392,1
248,248,Bristo Square,Bristo Square,55.94583,-3.18905,55.94583,-3.18905,3
248,252,Bristo Square,Kings Buildings 1,55.94583,-3.18905,55.92419,-3.17383,1
248,260,Bristo Square,Lauriston Place,55.94583,-3.18905,55.94477,-3.19727,1
248,262,Bristo Square,Canonmills,55.94583,-3.18905,55.9628,-3.19628,2
248,264,Bristo Square,Pollock Halls,55.94583,-3.18905,55.94008,-3.17175,3
248,265,Bristo Square,Meadows East,55.94583,-3.18905,55.93981,-3.18274,2
248,289,Bristo Square,Castle Street,55.94583,-3.18905,55.9515,-3.20318,2
