trip_index,station1,station2,distance,duration,node0,node1,node2
293,1758,1093,29.79,48.92,0,2,1
294,1758,1808,35.67,51.3,0,1,2
295,1758,1738,40.5,51.14,0,1,2
296,1758,1752,29.98,46.26,0,2,1
297,1758,1757,35.45,50.61,0,1,2
298,1758,1756,30.33,47.41,0,1,2
299,1758,1055,40.52,51.26,0,1,2
300,1758,1754,40.5,51.14,0,1,2
301,1758,1764,31.57,48.81,0,1,2
302,1758,1799,41.2,52.48,0,1,2
303,1758,1770,41.39,52.79,0,1,2
304,1758,1766,41.32,52.43,0,1,2
305,1758,1725,44.33,54.6,0,1,2
306,1758,1747,44.22,54.63,0,1,2
307,1758,1815,43.8,54.44,0,1,2
308,1758,1722,47.08,57.98,0,1,2
309,1758,1807,46.48,53.73,0,1,2
310,1758,1822,45.4,52.57,0,1,2
311,1758,1859,46.3,56.55,0,1,2
312,1758,1819,60.13,56.6,0,1,2
313,1758,1820,62.63,61.41,0,1,2
314,1758,1860,50.35,59.38,0,1,2
315,1758,1864,58.09,67.39,0,1,2
316,1758,1865,56.88,64.03,0,1,2
317,1758,1870,56.67,63.52,0,1,2
318,1758,1871,61.21,67.18,0,1,2
319,1758,1866,58.41,67.69,0,1,2
320,1758,1874,63.79,68.45,0,1,2
321,1758,1868,64.16,69.63,0,1,2
322,1758,1869,67.54,67.41,0,1,2
323,1758,1877,66.55,71.48,0,1,2
324,1800,1813,11.43,18.4,0,1,2
325,1800,1728,10.47,19.12,0,2,1
326,1800,1739,20.78,35.89,0,1,2
327,1800,1824,11.89,22.86,0,1,2
328,1800,253,22.23,38.31,0,1,2
329,1800,264,16.39,33.78,0,1,2
330,1800,1814,13.18,26,0,2,1
331,1800,2259,13.18,26.33,0,2,1
332,1800,252,22.59,39.31,0,1,2
333,1800,246,16.61,34.44,0,1,2
334,1800,250,12.86,24.83,0,1,2
335,1800,254,22.63,39.37,0,1,2
336,1800,1818,15.26,31.89,0,1,2
337,1800,1090,13.21,25.75,0,1,2
338,1800,285,14.34,28.24,0,1,2
339,1800,358,13.46,26.58,0,2,1
340,1800,1042,22.93,40.26,0,1,2
341,1800,1727,17.51,36.49,0,1,2
342,1800,1091,15.79,33,0,1,2
343,1800,1769,13.46,26.58,0,2,1
344,1800,1731,15.96,33.7,0,1,2
345,1800,256,14.32,28.66,0,2,1
346,1800,1726,16.73,34.37,0,1,2
347,1800,265,17.16,35.68,0,1,2
348,1800,225,15.26,32,0,1,2
349,1800,1096,17.17,35.86,0,1,2
350,1800,1097,17.87,37.44,0,1,2
351,1800,1729,14.41,28.94,0,2,1
352,1800,1052,16.17,34.03,0,2,1
353,1800,2268,14.42,28.72,0,2,1
354,1800,1017,17.25,35.95,0,1,2
355,1800,1730,14.8,29.71,0,2,1
356,1800,251,14.88,30.56,0,2,1
357,1800,1028,15.73,32.98,0,2,1
358,1800,171,17.58,36.68,0,1,2
359,1800,1798,16.14,34,0,2,1
360,1800,248,17.67,36.8,0,1,2
361,1800,189,17.34,36.89,0,1,2
362,1800,183,16.33,33.96,0,1,2
363,1800,259,15.69,32.87,0,2,1
364,1800,1098,19.15,40.43,0,1,2
365,1800,1024,18.66,39.18,0,1,2
366,1800,1745,15.73,32.36,0,2,1
367,1800,1743,15.53,31.48,0,2,1
368,1800,262,15.35,30.92,0,2,1
369,1800,1019,17.03,35.99,0,2,1
370,1800,260,17.73,37.95,0,2,1
371,1800,1051,19.62,41.79,0,1,2
372,1800,1768,19.79,41.92,0,1,2
373,1800,1720,16.2,33.09,0,2,1
374,1800,296,17.74,37.76,0,2,1
375,1800,1737,16.19,33.11,0,2,1
376,1800,1721,18.37,39.54,0,2,1
377,1800,289,17.11,35.76,0,2,1
