,start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
1880,1051,265,Warrender Park Road,Meadows East,55.93836921723555,-3.1980326885466184,55.939809466328285,-3.182738850746431,28
4058,1814,1818,Abbeyhill,Dynamic Earth,55.95524788917224,-3.1722162800950704,55.95108946523637,-3.17572460948655,27
2729,1728,250,Portobello - Kings Road,Victoria Quay,55.957915406923476,-3.118332042090288,55.97761715254634,-3.174126319457628,27
1037,265,1051,Meadows East,Warrender Park Road,55.939809466328285,-3.182738850746431,55.93836921723555,-3.1980326885466184,26
1726,1039,1039,Lothian Road,Lothian Road,55.947409199207115,-3.2057654971365537,55.947409199207115,-3.2057654971365537,26
1552,1025,265,Dundee Terrace,Meadows East,55.93970989541296,-3.2205889336679547,55.939809466328285,-3.182738850746431,26
131,183,1824,Waverley Bridge,Duke Street,55.95198075619354,-3.191890332557904,55.96901164826488,-3.16739470303429,25
3592,1767,171,Bruntsfield Links,George Square,55.9371232399911,-3.206431879393449,55.943084063011135,-3.1883110727223998,24
1044,265,1096,Meadows East,West Crosscauseway,55.939809466328285,-3.182738850746431,55.9438359841253,-3.1849514084976818,24
3069,1744,260,Morningside Road,Lauriston Place,55.92798534979654,-3.209749771944871,55.94477165233547,-3.197265856419562,24
4280,1823,1757,Boroughmuir,Meggetland,55.94007146917616,-3.2153358406880836,55.92758664038103,-3.2336710530441906,23
1007,265,183,Meadows East,Waverley Bridge,55.939809466328285,-3.182738850746431,55.95198075619354,-3.191890332557904,23
1038,265,1052,Meadows East,Surgeons Hall,55.939809466328285,-3.182738850746431,55.946642799617116,-3.1854745859388918,23
1089,285,250,Ocean Terminal,Victoria Quay,55.98128601479298,-3.176351263805259,55.97761715254634,-3.174126319457628,23
1082,265,1823,Meadows East,Boroughmuir,55.939809466328285,-3.182738850746431,55.94007146917616,-3.2153358406880836,23
285,247,247,Charlotte Square,Charlotte Square,55.95233546161639,-3.2071011721072864,55.95233546161639,-3.2071011721072864,23
1502,1024,1727,Meadow Place,Causewayside,55.940237631689435,-3.194640214184801,55.93650603148236,-3.1801663476151134,23
2099,1091,1091,Holyrood Road,Holyrood Road,55.94955950619123,-3.180413257527788,55.94955950619123,-3.180413257527788,23
1307,358,1728,Leith Walk,Portobello - Kings Road,55.965039805077325,-3.1766864147848537,55.957915406923476,-3.118332042090288,23
2150,1092,1092,Dalry Road Lidl,Dalry Road Lidl,55.941791296881284,-3.2224153095965,55.941791296881284,-3.2224153095965,22
